year,state,blood_type,donations
2008,W.P. Kuala Lumpur,o,63742
2009,Johor,a,6382
2009,Johor,ab,1552
2009,Johor,all,25702
2009,Johor,b,6873
2009,Johor,o,10895
2009,Kedah,a,11233
2009,Kedah,ab,3118
2009,Kedah,all,44862
2009,Kedah,b,12816
2009,Kedah,o,17695
2009,Kelantan,a,3032
2009,Kelantan,ab,757
2009,Kelantan,all,11520
2009,Kelantan,b,3031
2009,Kelantan,o,4700
2009,Melaka,a,6809
2009,Melaka,ab,1740
2009,Melaka,all,26653
2009,Melaka,b,7161
2009,Melaka,o,10943
2009,Negeri Sembilan,a,3269
2009,Negeri Sembilan,ab,847
2009,Negeri Sembilan,all,13001
2009,Negeri Sembilan,b,3559
2009,Negeri Sembilan,o,5326
2009,Pahang,a,914
2009,Pahang,ab,244
2009,Pahang,all,3414
2009,Pahang,b,953
2009,Pahang,o,1303
2009,Perak,a,6501
2009,Perak,ab,1719
2009,Perak,all,26092
2009,Perak,b,7187
2009,Perak,o,10685
2009,Pulau Pinang,a,0
2009,Pulau Pinang,ab,0
2009,Pulau Pinang,all,0
2009,Pulau Pinang,b,0
2009,Pulau Pinang,o,0
2009,Sabah,a,4403
2009,Sabah,ab,957
2009,Sabah,all,19571
2009,Sabah,b,4607
2009,Sabah,o,9604
2009,Sarawak,a,3832
2009,Sarawak,ab,1040
2009,Sarawak,all,15843
2009,Sarawak,b,4459
2009,Sarawak,o,6512
2009,Selangor,a,5418
2009,Selangor,ab,1458
2009,Selangor,all,21668
2009,Selangor,b,5989
2009,Selangor,o,8803
2009,Terengganu,a,3602
2009,Terengganu,ab,997
2009,Terengganu,all,14262
2009,Terengganu,b,4164
2009,Terengganu,o,5499
2009,W.P. Kuala Lumpur,a,40642
2009,W.P. Kuala Lumpur,ab,10840
2009,W.P. Kuala Lumpur,all,162692
2009,W.P. Kuala Lumpur,b,44314
2009,W.P. Kuala Lumpur,o,66892
2010,Johor,a,7890
2010,Johor,ab,2110
2010,Johor,all,32535
2010,Johor,b,8822
2010,Johor,o,13713
2010,Kedah,a,11936
2010,Kedah,ab,3323
2010,Kedah,all,47301
2010,Kedah,b,13263
2010,Kedah,o,18779
2010,Kelantan,a,3050
2010,Kelantan,ab,930
2010,Kelantan,all,12607
2010,Kelantan,b,3679
2010,Kelantan,o,4948
2010,Melaka,a,7036
2010,Melaka,ab,1732
2010,Melaka,all,27341
2010,Melaka,b,7351
2010,Melaka,o,11222
2010,Negeri Sembilan,a,3491
2010,Negeri Sembilan,ab,931
2010,Negeri Sembilan,all,14111
2010,Negeri Sembilan,b,3833
2010,Negeri Sembilan,o,5856
2010,Pahang,a,876
2010,Pahang,ab,237
2010,Pahang,all,3322
2010,Pahang,b,932
2010,Pahang,o,1277
2010,Perak,a,7058
2010,Perak,ab,1837
2010,Perak,all,28340
2010,Perak,b,7911
2010,Perak,o,11534
2010,Pulau Pinang,a,0
2010,Pulau Pinang,ab,0
2010,Pulau Pinang,all,0
2010,Pulau Pinang,b,0
2010,Pulau Pinang,o,0
2010,Sabah,a,4091
2010,Sabah,ab,948
2010,Sabah,all,18483
2010,Sabah,b,4412
2010,Sabah,o,9032
2010,Sarawak,a,4033
2010,Sarawak,ab,1147
2010,Sarawak,all,16798
2010,Sarawak,b,4867
2010,Sarawak,o,6751
2010,Selangor,a,6220
2010,Selangor,ab,1596
2010,Selangor,all,24769
2010,Selangor,b,6839
2010,Selangor,o,10113
2010,Terengganu,a,3635
2010,Terengganu,ab,1003
2010,Terengganu,all,14610
2010,Terengganu,b,4239
2010,Terengganu,o,5733
2010,W.P. Kuala Lumpur,a,38070
2010,W.P. Kuala Lumpur,ab,10212
2010,W.P. Kuala Lumpur,all,152946
2010,W.P. Kuala Lumpur,b,41505
2010,W.P. Kuala Lumpur,o,63152
2011,Johor,a,8094
2011,Johor,ab,1733
2011,Johor,all,32812
2011,Johor,b,8978
2011,Johor,o,14007
2011,Kedah,a,13559
2011,Kedah,ab,3729
2011,Kedah,all,53314
2011,Kedah,b,14896
2011,Kedah,o,21130
2011,Kelantan,a,2633
2011,Kelantan,ab,787
2011,Kelantan,all,10916
2011,Kelantan,b,3156
2011,Kelantan,o,4340
2011,Melaka,a,6883
2011,Melaka,ab,1795
2011,Melaka,all,27532
2011,Melaka,b,7399
2011,Melaka,o,11455
2011,Negeri Sembilan,a,3678
2011,Negeri Sembilan,ab,1012
2011,Negeri Sembilan,all,14498
2011,Negeri Sembilan,b,3948
2011,Negeri Sembilan,o,5860
