year,state,blood_type,donations
2020,Selangor,ab,1824
2020,Selangor,all,29234
2020,Selangor,b,7794
2020,Selangor,o,12497
2020,Terengganu,a,3769
2020,Terengganu,ab,1083
2020,Terengganu,all,15361
2020,Terengganu,b,4325
2020,Terengganu,o,6184
2020,W.P. Kuala Lumpur,a,42859
2020,W.P. Kuala Lumpur,ab,9497
2020,W.P. Kuala Lumpur,all,169941
2020,W.P. Kuala Lumpur,b,45795
2020,W.P. Kuala Lumpur,o,71779
2021,Johor,a,9745
2021,Johor,ab,2162
2021,Johor,all,40409
2021,Johor,b,10870
2021,Johor,o,17632
2021,Kedah,a,4852
2021,Kedah,ab,1234
2021,Kedah,all,19946
2021,Kedah,b,5692
2021,Kedah,o,8168
2021,Kelantan,a,3144
2021,Kelantan,ab,919
2021,Kelantan,all,12095
2021,Kelantan,b,3210
2021,Kelantan,o,4822
2021,Melaka,a,7082
2021,Melaka,ab,1788
2021,Melaka,all,27956
2021,Melaka,b,7471
2021,Melaka,o,11615
2021,Negeri Sembilan,a,3609
2021,Negeri Sembilan,ab,858
2021,Negeri Sembilan,all,14935
2021,Negeri Sembilan,b,4071
2021,Negeri Sembilan,o,6397
2021,Pahang,a,5767
2021,Pahang,ab,1440
2021,Pahang,all,22828
2021,Pahang,b,6382
2021,Pahang,o,9239
2021,Perak,a,10380
2021,Perak,ab,2590
2021,Perak,all,43151
2021,Perak,b,11602
2021,Perak,o,18578
2021,Pulau Pinang,a,8717
2021,Pulau Pinang,ab,2077
2021,Pulau Pinang,all,35211
2021,Pulau Pinang,b,9527
2021,Pulau Pinang,o,14890
2021,Sabah,a,6836
2021,Sabah,ab,1472
2021,Sabah,all,31210
2021,Sabah,b,7538
2021,Sabah,o,15364
2021,Sarawak,a,8277
2021,Sarawak,ab,2307
2021,Sarawak,all,35783
2021,Sarawak,b,10286
2021,Sarawak,o,14913
2021,Selangor,a,6265
2021,Selangor,ab,1502
2021,Selangor,all,26094
2021,Selangor,b,6984
2021,Selangor,o,11340
2021,Terengganu,a,3955
2021,Terengganu,ab,1156
2021,Terengganu,all,16180
2021,Terengganu,b,4512
2021,Terengganu,o,6557
2021,W.P. Kuala Lumpur,a,43322
2021,W.P. Kuala Lumpur,ab,9262
2021,W.P. Kuala Lumpur,all,173967
2021,W.P. Kuala Lumpur,b,47709
2021,W.P. Kuala Lumpur,o,73662
2022,Johor,a,10550
2022,Johor,ab,2145
2022,Johor,all,42832
2022,Johor,b,11569
2022,Johor,o,18568
2022,Kedah,a,5211
2022,Kedah,ab,1327
2022,Kedah,all,21128
2022,Kedah,b,5944
2022,Kedah,o,8646
2022,Kelantan,a,4042
2022,Kelantan,ab,1010
2022,Kelantan,all,15060
2022,Kelantan,b,3838
2022,Kelantan,o,6169
2022,Melaka,a,7676
2022,Melaka,ab,1795
2022,Melaka,all,30510
2022,Melaka,b,8114
2022,Melaka,o,12925
2022,Negeri Sembilan,a,3973
2022,Negeri Sembilan,ab,770
2022,Negeri Sembilan,all,15917
2022,Negeri Sembilan,b,4240
2022,Negeri Sembilan,o,6934
2022,Pahang,a,6070
2022,Pahang,ab,1459
2022,Pahang,all,23851
2022,Pahang,b,6612
2022,Pahang,o,9708
2022,Perak,a,11525
2022,Perak,ab,2883
2022,Perak,all,46498
2022,Perak,b,12674
2022,Perak,o,19414
2022,Pulau Pinang,a,9593
2022,Pulau Pinang,ab,2344
2022,Pulau Pinang,all,38420
2022,Pulau Pinang,b,10333
2022,Pulau Pinang,o,16150
2022,Sabah,a,8036
2022,Sabah,ab,1750
2022,Sabah,all,35530
2022,Sabah,b,8759
2022,Sabah,o,16985
2022,Sarawak,a,9565
2022,Sarawak,ab,2526
2022,Sarawak,all,40129
2022,Sarawak,b,11388
2022,Sarawak,o,16648
2022,Selangor,a,7213
2022,Selangor,ab,1665
2022,Selangor,all,29313
2022,Selangor,b,7843
2022,Selangor,o,12590
2022,Terengganu,a,4466
2022,Terengganu,ab,1251
2022,Terengganu,all,18226
2022,Terengganu,b,5081
2022,Terengganu,o,7428
2022,W.P. Kuala Lumpur,a,50271
2022,W.P. Kuala Lumpur,ab,10614
2022,W.P. Kuala Lumpur,all,202413
2022,W.P. Kuala Lumpur,b,54975
2022,W.P. Kuala Lumpur,o,86536
2023,Johor,a,10621
2023,Johor,ab,2296
2023,Johor,all,43706
2023,Johor,b,11664
2023,Johor,o,19124
2023,Kedah,a,5420
2023,Kedah,ab,1345
2023,Kedah,all,21564
2023,Kedah,b,6044
2023,Kedah,o,8754
2023,Kelantan,a,4424
2023,Kelantan,ab,1109
2023,Kelantan,all,16716
2023,Kelantan,b,4544
2023,Kelantan,o,6639
2023,Melaka,a,7280
2023,Melaka,ab,1755
2023,Melaka,all,28445
2023,Melaka,b,7532
2023,Melaka,o,11877
2023,Negeri Sembilan,a,4052
2023,Negeri Sembilan,ab,857
2023,Negeri Sembilan,all,16417
2023,Negeri Sembilan,b,4378
2023,Negeri Sembilan,o,7130
2023,Pahang,a,5801
2023,Pahang,ab,1342
2023,Pahang,all,22803
2023,Pahang,b,6395
2023,Pahang,o,9263
2023,Perak,a,11565
2023,Perak,ab,2790
2023,Perak,all,46920
2023,Perak,b,12962
2023,Perak,o,19600
2023,Pulau Pinang,a,10235
2023,Pulau Pinang,ab,2597
2023,Pulau Pinang,all,41633
2023,Pulau Pinang,b,11319
2023,Pulau Pinang,o,17482
2023,Sabah,a,9049
2023,Sabah,ab,1996
2023,Sabah,all,39826
2023,Sabah,b,9715
2023,Sabah,o,19064
2023,Sarawak,a,9984
2023,Sarawak,ab,2499
2023,Sarawak,all,41593
2023,Sarawak,b,11922
2023,Sarawak,o,17188
2023,Selangor,a,7473
2023,Selangor,ab,1557
2023,Selangor,all,30132
2023,Selangor,b,8290
2023,Selangor,o,12810
2023,Terengganu,a,4688
2023,Terengganu,ab,1398
2023,Terengganu,all,19360
2023,Terengganu,b,5379
2023,Terengganu,o,7892
2023,W.P. Kuala Lumpur,a,51694
2023,W.P. Kuala Lumpur,ab,10513
2023,W.P. Kuala Lumpur,all,206288
2023,W.P. Kuala Lumpur,b,56008
2023,W.P. Kuala Lumpur,o,88058
2024,Johor,a,8532
2024,Johor,ab,1691
2024,Johor,all,35130
2024,Johor,b,9460
2024,Johor,o,15447
2024,Kedah,a,4035
2024,Kedah,ab,982
2024,Kedah,all,16080
2024,Kedah,b,4548
2024,Kedah,o,6515
2024,Kelantan,a,3923
2024,Kelantan,ab,983
2024,Kelantan,all,14703
2024,Kelantan,b,3808
2024,Kelantan,o,5989
2024,Melaka,a,5613
2024,Melaka,ab,1428
2024,Melaka,all,22352
2024,Melaka,b,5957
2024,Melaka,o,9354
2024,Negeri Sembilan,a,3264
2024,Negeri Sembilan,ab,655
2024,Negeri Sembilan,all,13097
2024,Negeri Sembilan,b,3562
2024,Negeri Sembilan,o,5616
2024,Pahang,a,4675
2024,Pahang,ab,1053
2024,Pahang,all,18415
2024,Pahang,b,5145
2024,Pahang,o,7542
2024,Perak,a,8930
2024,Perak,ab,2187
2024,Perak,all,36208
2024,Perak,b,9805
2024,Perak,o,15284
2024,Pulau Pinang,a,8150
2024,Pulau Pinang,ab,2118
2024,Pulau Pinang,all,33106
2024,Pulau Pinang,b,8921
2024,Pulau Pinang,o,13916
2024,Sabah,a,7027
2024,Sabah,ab,1546
2024,Sabah,all,31059
2024,Sabah,b,7515
2024,Sabah,o,14970
2024,Sarawak,a,7869
2024,Sarawak,ab,1986
2024,Sarawak,all,32552
2024,Sarawak,b,9200
2024,Sarawak,o,13496
2024,Selangor,a,6041
2024,Selangor,ab,1365
2024,Selangor,all,24886
2024,Selangor,b,6850
2024,Selangor,o,10630
2024,Terengganu,a,3885
2024,Terengganu,ab,1135
2024,Terengganu,all,15830
2024,Terengganu,b,4421
2024,Terengganu,o,6389
2024,W.P. Kuala Lumpur,a,39957
2024,W.P. Kuala Lumpur,ab,8095
2024,W.P. Kuala Lumpur,all,158514
2024,W.P. Kuala Lumpur,b,42602
2024,W.P. Kuala Lumpur,o,67846
