state,type,date,staff
NegeriSembilan,dentist,01/01/2015,223
NegeriSembilan,dentist,01/01/2016,209
NegeriSembilan,dentist,01/01/2017,285
NegeriSembilan,dentist,01/01/2018,359
NegeriSembilan,dentist,01/01/2019,417
NegeriSembilan,dentist,01/01/2020,463
NegeriSembilan,dentist,01/01/2021,476
NegeriSembilan,dentist,01/01/2022,463
NegeriSembilan,doctor,01/01/2014,1504
NegeriSembilan,doctor,01/01/2015,1502
NegeriSembilan,doctor,01/01/2016,1619
NegeriSembilan,doctor,01/01/2017,1946
NegeriSembilan,doctor,01/01/2018,2335
NegeriSembilan,doctor,01/01/2019,2444
NegeriSembilan,doctor,01/01/2020,2595
NegeriSembilan,doctor,01/01/2021,2698
NegeriSembilan,doctor,01/01/2022,2876
NegeriSembilan,nurse,01/01/2014,2352
NegeriSembilan,nurse,01/01/2015,2479
NegeriSembilan,nurse,01/01/2016,2585
NegeriSembilan,nurse,01/01/2017,2631
NegeriSembilan,nurse,01/01/2018,2591
NegeriSembilan,nurse,01/01/2019,2736
NegeriSembilan,nurse,01/01/2020,4123
NegeriSembilan,nurse,01/01/2021,3050
NegeriSembilan,nurse,01/01/2022,3037
NegeriSembilan,nurse_community,01/01/2014,943
NegeriSembilan,nurse_community,01/01/2015,928
NegeriSembilan,nurse_community,01/01/2016,916
NegeriSembilan,nurse_community,01/01/2017,917
NegeriSembilan,nurse_community,01/01/2018,872
NegeriSembilan,nurse_community,01/01/2019,882
NegeriSembilan,nurse_community,01/01/2020,842
NegeriSembilan,nurse_community,01/01/2021,806
NegeriSembilan,nurse_community,01/01/2022,872
Pahang,dentist,01/01/2014,289
Pahang,dentist,01/01/2015,351
Pahang,dentist,01/01/2016,419
Pahang,dentist,01/01/2017,448
Pahang,dentist,01/01/2018,487
Pahang,dentist,01/01/2019,551
Pahang,dentist,01/01/2020,573
Pahang,dentist,01/01/2021,630
Pahang,dentist,01/01/2022,624
Pahang,doctor,01/01/2014,1636
Pahang,doctor,01/01/2015,1630
Pahang,doctor,01/01/2016,1691
Pahang,doctor,01/01/2017,1818
Pahang,doctor,01/01/2018,2159
Pahang,doctor,01/01/2019,2790
Pahang,doctor,01/01/2020,3132
Pahang,doctor,01/01/2021,2967
Pahang,doctor,01/01/2022,2927
Pahang,nurse,01/01/2014,3609
Pahang,nurse,01/01/2015,3857
Pahang,nurse,01/01/2016,4015
Pahang,nurse,01/01/2017,4059
Pahang,nurse,01/01/2018,3997
Pahang,nurse,01/01/2019,4019
Pahang,nurse,01/01/2020,3660
Pahang,nurse,01/01/2021,4260
Pahang,nurse,01/01/2022,4336
Pahang,nurse_community,01/01/2014,1822
Pahang,nurse_community,01/01/2015,1817
Pahang,nurse_community,01/01/2016,1800
Pahang,nurse_community,01/01/2017,1701
Pahang,nurse_community,01/01/2018,1704
Pahang,nurse_community,01/01/2019,1690
Pahang,nurse_community,01/01/2020,1677
Pahang,nurse_community,01/01/2021,1570
Pahang,nurse_community,01/01/2022,1699
Perak,dentist,01/01/2014,285
Perak,dentist,01/01/2015,278
Perak,dentist,01/01/2016,318
Perak,dentist,01/01/2017,420
Perak,dentist,01/01/2018,458
Perak,dentist,01/01/2019,521
Perak,dentist,01/01/2020,548
Perak,dentist,01/01/2021,564
Perak,dentist,01/01/2022,599
Perak,doctor,01/01/2014,2373
Perak,doctor,01/01/2015,2378
Perak,doctor,01/01/2016,2544
Perak,doctor,01/01/2017,2884
Perak,doctor,01/01/2018,3146
Perak,doctor,01/01/2019,3578
Perak,doctor,01/01/2020,3130
Perak,doctor,01/01/2021,4063
Perak,doctor,01/01/2022,4214
Perak,nurse,01/01/2014,5278
Perak,nurse,01/01/2015,5764
Perak,nurse,01/01/2016,5872
Perak,nurse,01/01/2017,5919
Perak,nurse,01/01/2018,5826
Perak,nurse,01/01/2019,5903
Perak,nurse,01/01/2020,981
Perak,nurse,01/01/2021,6685
Perak,nurse,01/01/2022,6782
Perak,nurse_community,01/01/2014,2167
Perak,nurse_community,01/01/2015,2149
Perak,nurse_community,01/01/2016,2133
Perak,nurse_community,01/01/2017,2036
Perak,nurse_community,01/01/2018,1992
Perak,nurse_community,01/01/2019,1993
Perak,nurse_community,01/01/2020,1907
Perak,nurse_community,01/01/2021,1818
Perak,nurse_community,01/01/2022,1966
Perlis,dentist,01/01/2014,67
Perlis,dentist,01/01/2015,71
Perlis,dentist,01/01/2016,89
Perlis,dentist,01/01/2017,109
Perlis,dentist,01/01/2018,135
Perlis,dentist,01/01/2019,148
Perlis,dentist,01/01/2020,134
Perlis,dentist,01/01/2021,145
Perlis,dentist,01/01/2022,141
Perlis,doctor,01/01/2014,419
Perlis,doctor,01/01/2015,434
Perlis,doctor,01/01/2016,483
Perlis,doctor,01/01/2017,525
Perlis,doctor,01/01/2018,543
Perlis,doctor,01/01/2019,599
Perlis,doctor,01/01/2020,749
Perlis,doctor,01/01/2021,644
Perlis,doctor,01/01/2022,654
Perlis,nurse,01/01/2014,746
Perlis,nurse,01/01/2015,870
Perlis,nurse,01/01/2016,923
Perlis,nurse,01/01/2017,913
Perlis,nurse,01/01/2018,906
Perlis,nurse,01/01/2019,914
Perlis,nurse,01/01/2020,9465
Perlis,nurse,01/01/2021,1013
Perlis,nurse,01/01/2022,998
Perlis,nurse_community,01/01/2014,349
Perlis,nurse_community,01/01/2015,346
Perlis,nurse_community,01/01/2016,345
Perlis,nurse_community,01/01/2017,335
Perlis,nurse_community,01/01/2018,330
Perlis,nurse_community,01/01/2019,333
Perlis,nurse_community,01/01/2020,317
Perlis,nurse_community,01/01/2021,298
Perlis,nurse_community,01/01/2022,323
PulauPinang,dentist,01/01/2014,228
PulauPinang,dentist,01/01/2015,239
PulauPinang,dentist,01/01/2016,276
PulauPinang,dentist,01/01/2017,357
PulauPinang,dentist,01/01/2018,420
PulauPinang,dentist,01/01/2019,421
PulauPinang,dentist,01/01/2020,437
PulauPinang,dentist,01/01/2021,438
PulauPinang,dentist,01/01/2022,431
PulauPinang,doctor,01/01/2014,2178
PulauPinang,doctor,01/01/2015,1831
PulauPinang,doctor,01/01/2016,1939
PulauPinang,doctor,01/01/2017,2581
PulauPinang,doctor,01/01/2018,2741
PulauPinang,doctor,01/01/2019,2543
PulauPinang,doctor,01/01/2020,3158
PulauPinang,doctor,01/01/2021,3024
PulauPinang,doctor,01/01/2022,2996
PulauPinang,nurse,01/01/2014,2993
PulauPinang,nurse,01/01/2015,3393
PulauPinang,nurse,01/01/2016,3542
PulauPinang,nurse,01/01/2017,3593
PulauPinang,nurse,01/01/2018,3531
PulauPinang,nurse,01/01/2019,3599
PulauPinang,nurse,01/01/2020,6081
PulauPinang,nurse,01/01/2021,3816
PulauPinang,nurse,01/01/2022,3846
PulauPinang,nurse_community,01/01/2014,1028
PulauPinang,nurse_community,01/01/2015,1042
PulauPinang,nurse_community,01/01/2016,1012
PulauPinang,nurse_community,01/01/2017,975
PulauPinang,nurse_community,01/01/2018,959
PulauPinang,nurse_community,01/01/2019,948
PulauPinang,nurse_community,01/01/2020,924
PulauPinang,nurse_community,01/01/2021,859
PulauPinang,nurse_community,01/01/2022,919
Sabah,dentist,01/01/2014,244
Sabah,dentist,01/01/2015,280
Sabah,dentist,01/01/2016,308
Sabah,dentist,01/01/2017,309
Sabah,dentist,01/01/2018,327
Sabah,dentist,01/01/2019,375
Sabah,dentist,01/01/2020,401
Sabah,dentist,01/01/2021,453
Sabah,dentist,01/01/2022,426
Sabah,doctor,01/01/2014,2112
Sabah,doctor,01/01/2015,2558
Sabah,doctor,01/01/2016,2685
Sabah,doctor,01/01/2017,3205
Sabah,doctor,01/01/2018,4006
Sabah,doctor,01/01/2019,4212
Sabah,doctor,01/01/2020,3916
Sabah,doctor,01/01/2021,4317
Sabah,doctor,01/01/2022,4193
Sabah,nurse,01/01/2014,6547
Sabah,nurse,01/01/2015,7012
Sabah,nurse,01/01/2016,7217
Sabah,nurse,01/01/2017,7187
Sabah,nurse,01/01/2018,7115
Sabah,nurse,01/01/2019,7192
Sabah,nurse,01/01/2020,5888
Sabah,nurse,01/01/2021,8212
Sabah,nurse,01/01/2022,8151
Sabah,nurse_community,01/01/2014,3914
Sabah,nurse_community,01/01/2015,3922
Sabah,nurse_community,01/01/2016,3874
Sabah,nurse_community,01/01/2017,3667
Sabah,nurse_community,01/01/2018,3624
Sabah,nurse_community,01/01/2019,3653
Sabah,nurse_community,01/01/2020,3464
Sabah,nurse_community,01/01/2021,3143
Sabah,nurse_community,01/01/2022,3575
Sarawak,dentist,01/01/2014,302
Sarawak,dentist,01/01/2015,309
Sarawak,dentist,01/01/2016,359
Sarawak,dentist,01/01/2017,404
Sarawak,dentist,01/01/2018,407
Sarawak,dentist,01/01/2019,421
Sarawak,dentist,01/01/2020,439
Sarawak,dentist,01/01/2021,450
Sarawak,dentist,01/01/2022,441
Sarawak,doctor,01/01/2014,2250
Sarawak,doctor,01/01/2015,2203
Sarawak,doctor,01/01/2016,3061
Sarawak,doctor,01/01/2017,4179
Sarawak,doctor,01/01/2018,3672
Sarawak,doctor,01/01/2019,3567
Sarawak,doctor,01/01/2020,4137
Sarawak,doctor,01/01/2021,3656
Sarawak,doctor,01/01/2022,4005
Sarawak,nurse,01/01/2014,5216
Sarawak,nurse,01/01/2015,5584
Sarawak,nurse,01/01/2016,5705
Sarawak,nurse,01/01/2017,5782
Sarawak,nurse,01/01/2018,5740
Sarawak,nurse,01/01/2019,5805
Sarawak,nurse,01/01/2020,8163
Sarawak,nurse,01/01/2021,6606
Sarawak,nurse,01/01/2022,6645
