state,year_month,pledges
Kedah,2010-11-01,30
Kedah,2010-12-01,51
Kedah,2011-01-01,191
Kedah,2011-02-01,52
Kedah,2011-03-01,118
Kedah,2011-04-01,127
Kedah,2011-05-01,74
Kedah,2011-06-01,58
Kedah,2011-07-01,41
Kedah,2011-08-01,16
Kedah,2011-09-01,45
Kedah,2011-10-01,135
Kedah,2011-11-01,54
Kedah,2011-12-01,48
Kedah,2012-01-01,40
Kedah,2012-02-01,88
Kedah,2012-03-01,121
Kedah,2012-04-01,112
Kedah,2012-05-01,109
Kedah,2012-06-01,98
Kedah,2012-07-01,89
Kedah,2012-08-01,61
Kedah,2012-09-01,147
Kedah,2012-10-01,242
Kedah,2012-11-01,133
Kedah,2012-12-01,135
Kedah,2013-01-01,94
Kedah,2013-02-01,110
Kedah,2013-03-01,152
Kedah,2013-04-01,141
Kedah,2013-05-01,89
Kedah,2013-06-01,141
Kedah,2013-07-01,95
Kedah,2013-08-01,35
Kedah,2013-09-01,92
Kedah,2013-10-01,167
Kedah,2013-11-01,136
Kedah,2013-12-01,66
Kedah,2014-01-01,80
Kedah,2014-02-01,105
Kedah,2014-03-01,233
Kedah,2014-04-01,129
Kedah,2014-05-01,131
Kedah,2014-06-01,123
Kedah,2014-07-01,102
Kedah,2014-08-01,130
Kedah,2014-09-01,203
Kedah,2014-10-01,358
Kedah,2014-11-01,232
Kedah,2014-12-01,109
Kedah,2015-01-01,74
Kedah,2015-02-01,187
Kedah,2015-03-01,207
Kedah,2015-04-01,314
Kedah,2015-05-01,186
Kedah,2015-06-01,186
Kedah,2015-07-01,128
Kedah,2015-08-01,204
Kedah,2015-09-01,184
Kedah,2015-10-01,868
Kedah,2015-11-01,180
Kedah,2015-12-01,184
Kedah,2016-01-01,149
Kedah,2016-02-01,117
Kedah,2016-03-01,129
Kedah,2016-04-01,136
Kedah,2016-05-01,199
Kedah,2016-06-01,90
Kedah,2016-07-01,51
Kedah,2016-08-01,85
Kedah,2016-09-01,49
Kedah,2016-10-01,248
Kedah,2016-11-01,138
Kedah,2016-12-01,82
Kedah,2017-01-01,61
Kedah,2017-02-01,53
Kedah,2017-03-01,129
Kedah,2017-04-01,74
Kedah,2017-05-01,73
Kedah,2017-06-01,23
Kedah,2017-07-01,37
Kedah,2017-08-01,104
Kedah,2017-09-01,66
Kedah,2017-10-01,260
Kedah,2017-11-01,124
Kedah,2017-12-01,59
Kedah,2018-01-01,149
Kedah,2018-02-01,49
Kedah,2018-03-01,92
Kedah,2018-04-01,109
Kedah,2018-05-01,50
Kedah,2018-06-01,133
Kedah,2018-07-01,83
Kedah,2018-08-01,57
Kedah,2018-09-01,62
Kedah,2018-10-01,384
Kedah,2018-11-01,53
Kedah,2018-12-01,31
Kedah,2019-01-01,77
Kedah,2019-02-01,79
Kedah,2019-03-01,49
Kedah,2019-04-01,137
Kedah,2019-05-01,24
Kedah,2019-06-01,49
Kedah,2019-07-01,43
Kedah,2019-08-01,75
Kedah,2019-09-01,77
Kedah,2019-10-01,82
Kedah,2019-11-01,46
Kedah,2019-12-01,21
Kedah,2020-01-01,141
Kedah,2020-02-01,30
Kedah,2020-03-01,2
Kedah,2020-04-01,0
Kedah,2020-05-01,5
Kedah,2020-06-01,2
Kedah,2020-07-01,2
Kedah,2020-08-01,3
Kedah,2020-09-01,8
Kedah,2020-10-01,6
Kedah,2020-11-01,5
Kedah,2020-12-01,3
Kedah,2021-01-01,5
Kedah,2021-02-01,1
Kedah,2021-03-01,7
Kedah,2021-04-01,2
Kedah,2021-05-01,13
Kedah,2021-06-01,15
Kedah,2021-07-01,24
Kedah,2021-08-01,59
Kedah,2021-09-01,55
Kedah,2021-10-01,51
Kedah,2021-11-01,21
Kedah,2021-12-01,53
Kedah,2022-01-01,84
Kedah,2022-02-01,94
Kedah,2022-03-01,402
Kedah,2022-04-01,62
Kedah,2022-05-01,70
Kedah,2022-06-01,90
Kedah,2022-07-01,56
Kedah,2022-08-01,250
Kedah,2022-09-01,413
Kedah,2022-10-01,559
Kedah,2022-11-01,290
Kedah,2022-12-01,166
Kedah,2023-01-01,189
Kedah,2023-02-01,115
Kedah,2023-03-01,113
Kedah,2023-04-01,152
Kedah,2023-05-01,105
Kedah,2023-06-01,143
Kedah,2023-07-01,77
Kedah,2023-08-01,76
Kedah,2023-09-01,101
Kedah,2023-10-01,84
Kedah,2023-11-01,65
Kedah,2023-12-01,131
Kedah,2024-01-01,72
Kedah,2024-02-01,46
Kedah,2024-03-01,57
Kedah,2024-04-01,59
Kedah,2024-05-01,61
Kedah,2024-06-01,82
Kedah,2024-07-01,60
Kedah,2024-08-01,73
Kedah,2024-09-01,43
Kedah,2024-10-01,6
Kelantan,2009-01-01,0
Kelantan,2009-02-01,0
Kelantan,2009-03-01,0
Kelantan,2009-04-01,0
Kelantan,2009-05-01,0
Kelantan,2009-06-01,0
Kelantan,2009-07-01,0
Kelantan,2009-08-01,1
Kelantan,2009-09-01,0
